"id","name","code","country_id:id"
"buenos_aires","Buenos Aires","B","base.ar"
"cordoba","CÃ³rdoba","X","base.ar"
"santa_fe","Santa Fe","S","base.ar"
"corrientes","Corrientes","W","base.ar"
"entre_rios","Entre Rios","E","base.ar"
"salta","Salta","A","base.ar"
"tucuman","Tucuman","T","base.ar"
"mendoza","Mendoza","M","base.ar"
"san_luis","San Luis","D","base.ar"
"catamarca","Catamarca","K","base.ar"
"santiago","Santiago del Estero","G","base.ar"
"la_pampa","La Pampa","L","base.ar"
"formosa","Formosa","P","base.ar"
"misiones","Misiones","N","base.ar"
"chubut","Chubut","U","base.ar"
"rio_negro","Rio Negro","R","base.ar"
"santa_cruz","Santa Cruz","Z","base.ar"
"tierra_del_fuego","Tierra del Fuego","V","base.ar"
"capital","Capital Federal","C","base.ar"
"chaco","Chaco","H","base.ar"
"jujuy","Jujuy","Y","base.ar"
"san_juan","San Juan","J","base.ar"
"neuquen","Neuquen","Q","base.ar"
"la_rioja","La Rioja","F","base.ar"
